Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8036564k(1701328k free), swap 13829772k(2261584k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2.672: [GC (Allocation Failure) 2.672: [DefNew: 959K->47K(960K), 0.0019876 secs] 15461K->14610K(524224K), 0.0021479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.690: [GC (Allocation Failure) 2.690: [DefNew: 943K->64K(960K), 0.0018313 secs] 15507K->14778K(524224K), 0.0019872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.724: [GC (Allocation Failure) 2.724: [DefNew: 960K->64K(960K), 0.0021420 secs] 15677K->14917K(524224K), 0.0022924 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2.739: [GC (Allocation Failure) 2.740: [DefNew: 960K->63K(960K), 0.0022730 secs] 15815K->15031K(524224K), 0.0024139 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2.768: [GC (Allocation Failure) 2.769: [DefNew: 959K->64K(960K), 0.0025197 secs] 15934K->15151K(524224K), 0.0027076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.799: [GC (Allocation Failure) 2.799: [DefNew: 960K->64K(960K), 0.0027053 secs] 16048K->15331K(524224K), 0.0028778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.827: [GC (Allocation Failure) 2.827: [DefNew: 960K->64K(960K), 0.0021364 secs] 16239K->15526K(524224K), 0.0022758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.843: [GC (Allocation Failure) 2.843: [DefNew: 960K->64K(960K), 0.0016296 secs] 16448K->15693K(524224K), 0.0017251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.860: [GC (Allocation Failure) 2.860: [DefNew: 960K->64K(960K), 0.0016679 secs] 16607K->15836K(524224K), 0.0017752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.874: [GC (Allocation Failure) 2.875: [DefNew: 960K->63K(960K), 0.0014472 secs] 16820K->16043K(524224K), 0.0015459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
